size	var
AY649803_CO1_Tamu_fisheri	4.06044301054642	NA
KF611693_CO1_Gigantidas_sp._1_Broken_Bay	4.44265125649032	NA
AB170047_CO1_Bathymodiolus_hirtus	4.39691524716763	NA
FJ890502_CO1_Gigantidas_mauritanicus	4.84418708645859	NA
AY649801_CO1_Gigantidas_mauritanicus	4.70048036579242	NA
AY649800_CO1_Bathymodiolus_childressi	4.90156419904189	NA
MK534977_CO1_Gigantidas_haimaensis	4.6746962486367	NA
AB257551_CO1_Bathymodiolus_sp._Si3-3	3.63340241664557	141.350042896796
AB170048_CO1_Bathymodiolus_securiformis	4.90601524496615	NA
HF545122_CO1_Bathymodiolus_sp._Sissano2	3.53999589343704	451.117055099302
AB257547_CO1_Bathymodiolus_sp._Si1-1	3.53999589343704	451.117055099302
HF545112_CO1_Bathymodiolus_sp._Kikaijima	3.53999589343704	451.117055099301
AB257556_CO1_Bathymodiolus_sp._Kikaijima	3.53999589343704	451.117055099301
HF545125_CO1_Bathymodiolus_sp._Sissano1	3.69599007085535	6.72352401476113
AB257548_CO1_Bathymodiolus_sp._Si2-1	3.71479083589844	NA
AB257530_CO1_Bathymodiolus_sp._C1	3.59954793252822	165.745883788613
MN136491_CO1_Gigantidas_vrijenhoeki	4.90668119637631	NA
HF545119_CO1_Gigantidas_sp._Aitape	3.54387158789525	261.307443833004
AB257524_CO1_Gigantidas_sp._Aitape1	3.54387158789525	261.307443833004
AB257529_CO1_Gigantidas_sp._Ashizuri	3.54387158789525	261.30744383344
KF611692_CO1_Gigantidas_sp._2_Broken_Bay	4.3267781604434	NA
AB257553_CO1_Gigantidas_sp._Su1	5.02354224583205	9.267937844969
AB257538_CO1_Gigantidas_horikoshii	5.27607175760072	NA
AB257544_CO1_Gigantidas_sp._NK1	5.02277933644617	9.29808682810189
AY649802_CO1_Gigantidas_gladius	5.75574221358691	NA
EU702315_CO1_Gigantidas_crypta	3.40119738166216	NA
EU702319_CO1_Gigantidas_crypta	3.40119738166216	NA
GU966637_CO1_Bathymodiolus_manusensis	4.61313835563727	NA
AB101431_CO1_Bathymodiolus_manusensis	4.52245713973037	5.22986736548151
AB257539_CO1_Bathymodiolus_sp._Lau1	4.29124597810863	21.0627156029098
AB255739_CO1_Bathymodiolus_sp._Ne1	4.13931184009473	34.3228656227818
HF952518_CO1_Idas_sp._MAR-1234	3.04452243772342	NA
FJ937230_CO1_Idas_sp._Q_JL-2009	2.06686275947298	NA
HF545117_CO1_Idas_sp._ESU_S	3.21151258063376	43.7035882768668
FJ937240_CO1_Idas_sp._S1_JL-2009	2.9338568698359	NA
FJ937258_CO1_Idas_sp._S2_JL-2009	2.9338568698359	NA
HF545124_CO1_Idas_sp._SAL4	3.24992203023026	6.01660637411899
DQ340776_CO1_Idas_sp._SAL4	3.2188758248682	NA
FJ937239_CO1_Idas_sp._R_JL-2009	2.10413415427021	NA
FJ937161_CO1_Idas_sp._G_JL-2009	2.26176309847379	NA
FJ767936_CO1_Bathymodiolus_sp._NZ3	5.19295685089021	NA
AY608440_CO1_Bathymodiolus_sp._3-NZ3	5.19278412019204	0.00619657390973219
FJ937127_CO1_Idas_sp._F_JL-2009	3.55534806148941	NA
FJ937079_CO1_Idas_sp._E_JL-2009	3.60277675506052	NA
DQ340772_CO1_Idas_sp._SAL3	3.6454498961866	NA
KF611691_CO1_Benthomodiolus_sp._South_Atlantic	2.17475172148416	NA
AB257513_CO1_Benthomodiolus_sp._895-1	3.74950407593037	NA
KF611694_CO1_Benthomodiolus_sp._Juan_de_Fuca	3.68637632389582	NA
DQ077892_CO1_Bathymodiolus_sp._JDF-2005	2.99573227355399	NA
AY275545_CO1_Benthomodiolus_lignocola	2.89591193827178	NA
